lat,lon
50.1829405,6.0248806
50.1827968,6.0249473
50.1817012,6.0250933
50.1807542,6.0253504
50.1798347,6.0256326
50.178954,6.0259874
50.1780498,6.0264404
50.1776538,6.026644
50.1770349,6.0270688
50.1762813,6.0275851
50.1756276,6.0279617
50.1749024,6.0284092
50.1746388,6.0285273
50.1736325,6.0289491
50.1730203,6.029215
50.172378,6.0294411
50.1716165,6.0296327
50.1705733,6.0297155
50.169965,6.0297663
50.1693354,6.0295916
50.1684944,6.0293887
50.1679441,6.0294679
50.1671678,6.0296706
50.1664812,6.0297326
50.1659452,6.0296185
50.1652725,6.0297633
50.1647042,6.029954
50.1639856,6.0305809
50.1633342,6.0317477
50.1627794,6.0328543
50.1623395,6.0337109
50.1619033,6.0348887
50.1615178,6.0359105
50.1613799,6.036222
50.1607202,6.0374391
50.1604898,6.0378352
50.1599694,6.0392661
50.1593559,6.0408184
50.1589596,6.0418413
50.1584614,6.0432443
50.1582014,6.0441614
50.157888,6.0452581
50.1576682,6.0458872
50.1575189,6.0469322
50.157426,6.047459
50.1571914,6.0487761
50.1569346,6.0497797
50.1567809,6.0503489
50.1564234,6.0510449
50.1562771,6.0519547
50.1558817,6.0524706
50.1555579,6.0539799
50.1551216,6.0555034
50.1547262,6.0559061
50.1545513,6.0563294
50.1543525,6.0576996
50.1540865,6.0586883
50.1539345,6.0598009
50.1537149,6.0612223
50.1537589,6.0622182
50.153714,6.0626503
50.1535651,6.0633493
50.1535273,6.0637825
50.1537153,6.0644975
50.154299,6.0661497
50.1548718,6.0677912
50.1551211,6.0683391
50.1555945,6.0691373
50.1563762,6.0700883
50.1566053,6.0703812
50.1570996,6.0712911
50.1573816,6.0720168
50.1575473,6.0731917
50.1575171,6.0740265
50.1571493,6.0749103
50.1570266,6.0753473
50.1568518,6.0757565
50.1568248,6.0765294
50.156647,6.0776481
50.1564249,6.0786541
50.1579898,6.0785533
50.1591321,6.0788536
50.1601787,6.0794034
50.16084,6.080063
50.1612502,6.0803585
50.1623282,6.0805584
50.1629794,6.0805672
50.1637163,6.0804547
50.1652154,6.0798432
50.1667311,6.0794877
50.1680258,6.0791227
50.1685571,6.0792726
50.1692679,6.0796684
50.1698109,6.0796825
50.1708655,6.0792278
